Developer,Active,City,Country,Est.,"Notable games, series or franchises",Notes
Render Cube,1,Seoul,South Korea,2018-10-26 00:00:00,"Medieval Dynasty, Monster League",
Casey Donnellan Games LLC,1,Helsinki,Finland,1986-01-18 00:00:00,"Kill It With Fire: HEATWAVE, Ruff Night At The Gallery, Kill It With Fire: Ignition, Kill It With Fire",
BigCode Games Pvt Ltd,1,Los Angeles,United States,1981-12-18 00:00:00,Double Head Shark Attack,
Unexpected,1,Los Angeles,United States,2011-12-05 00:00:00,"looK INside - Chapter 2, looK INside - Chapter 1, As Far As The Eye, KallaX",
Taotie Industries,1,Montreal,Canada,1977-03-22 00:00:00,"Hidden Life, You are Never Alone, The search for DEEP loving",
Sloclap,1,Los Angeles,United States,2009-08-21 00:00:00,"Sifu, Absolver",
Avalanche Studios,1,Melbourne,Australia,1999-10-22 00:00:00,"Just Cause 4 Reloaded, Mad Max, Just Cause™ 3, Renegade Ops, Just Cause 2: Multiplayer Mod",Action base hair student lead staff everything power.
Computerhouse,1,Berlin,Germany,1988-04-26 00:00:00,Clans,
Henchman & Goon,1,Kyoto,Japan,1997-01-23 00:00:00,"Flem, Pode",
Ceej Games,1,Stockholm,Sweden,1994-03-12 00:00:00,Bounce Knight,
Creative Oven Studio,1,Los Angeles,United States,1994-04-22 00:00:00,Liberation Special Forces,Point development hit available order kind amount war.
Red Hook Studios,1,Austin,United States,1995-12-15 00:00:00,"Darkest Dungeon®, Darkest Dungeon® II",
Deyteris,1,Kyoto,Japan,1981-09-10 00:00:00,"Maidens of the Ocean Solitaire, Marie Antoinette's Solitaire, Viking Chronicles: Tale of the lost Queen, Flowers Garden Solitaire",
First Watch Games,1,Paris,France,1991-07-16 00:00:00,Rogue Company,
Gremlin Graphics,1,Amsterdam,Netherlands,2003-11-25 00:00:00,"The Final Matrix (CPC/Spectrum), Monty on the Run, The Way of the Tiger (CPC/Spectrum), Sam Stoat: Safebreaker, Re-Bounder",
Tristan Hodges,0,Helsinki,Finland,2016-07-27 00:00:00,The Crystal Nebula,
