Publisher,Headquarters,Est.,Notable games published,Notes,Active
Curve Digital,"Stockholm, Sweden",2004,"Hue, For The King, A Knights Quest, Just Die Already, Explodemon",,1
VBlank Entertainment,"Gurugram, India",2019,Shakedown - Hawaii,,1
Eden Agency,"Kyoto, Japan",2011,"Boofle's Home, Barrels Up",Mean necessary recently ready.,1
Activision,"Amsterdam, Netherlands",1990,"Crash Bandicoot™ N. Sane Trilogy, Spyro™ Reignited Trilogy, Call of Duty®: Black Ops II, Phantasmagoria 2: A Puzzle of Flesh, Call of Duty®: Modern Warfare®",,1
The Bearded Ladies,"Melbourne, Australia",2004,CORRUPTION 2029,,1
VAPOWARE GAMES,"Paris, France",1985,CHI NINJA,,1
Miju Games,"Tokyo, Japan",1993,"The Planet Crafter, The Planet Crafter: Prologue, Abracadabrew",South job drive.,0
The Astronauts,"Montreal, Canada",1998,The Vanishing of Ethan Carter,,1
Big Fish Games,"Seoul, South Korea",2001,"Maestro: Notes of Life Collector's Edition, Grim Tales: Crimson Hollow Collector's Edition, Rite of Passage: The Lost Tides Collector's Edition, Mystery Case Files: The Countess Collector's Edition, Halloween Stories: The Neglected Dead Collector's Edition",,1
GAMES in FLAMES,"Berlin, Germany",2010,"Aloha Paradise Hotel, Word Wonders: The Tower of Babel, Crush Online",Mind remain unit five policy product.,1
Velaris Studio,"Los Angeles, USA",1981,"NickProject, Forest Rabbit",With again plan quickly wife responsibility investment high.,1
Xavier Lopes,"Seoul, South Korea",1985,Gladiators Tale,,1
Appsif Apps ltd,"Seoul, South Korea",2014,The Protocons,,1
DON'T NOD,"Toronto, Canada",1986,"Gerda: A Flame in Winter, Harmony: The Fall of Reverie, Twin Mirror, Jusant",,1
Gearbox Publishing,"Tokyo, Japan",2013,"We Happy Few - Soundtrack and Digital Goods Bundle, Homeworld: Deserts of Kharak, Bulletstorm: Full Clip Edition, Duke Nukem 3D: 20th Anniversary World Tour, Relic Hunters Legend",,1
META Publishing,"Montreal, Canada",2015,"HordeCore, Time Loader, The Uncertain: Light At The End, Armored Warfare, Pathfinder: Wrath of the Righteous",,1
FrameLineNetwork,"Gurugram, India",1988,"City Play, Bus Tycoon ND (Night and Day), The Terminal 2",,0
NikuTreat,"Kyoto, Japan",2012,"A Sun Of Salt, Hearts of the Dungeon List",,1
Fengfeng Network,"New York, USA",2006,Bloodecay,,1
Coffee Stain Publishing,"Kyoto, Japan",2000,"HUNTDOWN, A Story About My Uncle, Super Sanctum TD, Sanctum 2, Satisfactory",Forget walk sometimes air share window skill.,1
Kalypso Media,"Tokyo, Japan",1995,"Shadows: Awakening, Railway Empire 2, Port Royale 4, Sudden Strike 4, Tropico 6",Produce month memory every.,1
Architect Enterprises,"Melbourne, Australia",1998,TCM RACING 2,,1
852話,"Montreal, Canada",1983,『絵話 -kaiwa-』,,0
Atomic Fabrik,"Stockholm, Sweden",2003,"Beach Gas Gas, The Thieves!, Out of Fuel, Auto Mechanic Sim, Hypermarket Tycoon Manager",,1
LionSword,Singapore,2003,Generic Space Shooter,,1
Inkgames OU,"Berlin, Germany",1989,Priscillas Dream,Fish each kid store.,1
DMD Enterprise,"Melbourne, Australia",2007,Uprising44: The Silent Shadows,,1
Arturo Zafra Moreno,Singapore,2001,"Blood Money, Good Money",Money sign generation turn through apply player too.,1
Wisan Saekor,"Montreal, Canada",1997,Three Defilements,,1
Mi-Clos Studio,"Paris, France",1980,Void And Meddler,,1
2tainment GmbH,"Melbourne, Australia",1987,"Club Manager 2015, Biotope, Club Manager 2016, Crashday Redline Edition, Club Manager 2017",,1
Finji,"Kyoto, Japan",2002,"Overland, PANORAMICAL, FEIST, I Was a Teenage Exocolonist, Canabalt",,1
"Good-Feel Co., Ltd.","Paris, France",2008,Monkey Barrels,Check finally level.,1
Tilting Point,"Montreal, Canada",1988,"Leo’s Fortune - HD Edition, Warhammer: Chaos And Conquest, Star Trek Timelines",,1
PulseTense,"London, UK",2000,"Reframed, De-Void, Blind Souls, Post War Dreams, Caretaker",,1
D4RKK1TE,"Amsterdam, Netherlands",2008,Lost Beyond,,1
Triband,"Berlin, Germany",1983,"WHAT THE BAT?, WHAT THE GOLF?",,1
WindField Games,"London, UK",1996,"梦染深秋, 山：临界幸存者, 希望之光1：灵菌涅槃, 零岁的星光, The Days Without Gods",,1
Shiro Games,"Montreal, Canada",1985,Northgard,,1
Sucurema GmbH,"Paris, France",1981,Pandora,,1
Qwiboo Ltd,"Tokyo, Japan",2003,Beyond Gravity,Than few thus range.,1
Deverydoo,"London, UK",2004,The Incredible Adventures of Super Panda,,0
F4DE,"Tokyo, Japan",1991,Drying Paint Simulator VR,,1
Randumb Studios,Singapore,1990,"The Test: Secrets of the Soul, The Test: Final Revelation, The Test: Hypothesis Rising, The Horrorscope, The Journey - Episode 2: Words of Wisdom",,0
CNM,"Kyoto, Japan",1986,"Ethereal Estate, Veneficium, Shadow Burglar, Evo\Wave, Somny & Yawn: Dream Detectives",,1
Games Operators,"Seoul, South Korea",2005,"112 Operator, Natural Instincts: European Forest, 911 Operator, CountryBalls Heroes, Delivery INC",,1
Devolver Digital,"Stockholm, Sweden",1987,"Reigns, SLUDGE LIFE 2, Inscryption, Fork Parker's Holiday Profit Hike, Serious Sam 4",Commercial news myself some effect impact loss.,1
Goblinz Publishing,"San Francisco, USA",2007,"Legend of Keepers: Prologue, Banners of Ruin, Legend of Keepers: Career of a Dungeon Manager, Legend of Keepers, Sandwalkers: The Fourteenth Caravan",At like history figure sure.,0
Marc Kletz,Singapore,1989,Carotic - Academic Version,,1
"Thekla, Inc.","Los Angeles, USA",1993,The Witness,,1
Freedom Games,"Melbourne, Australia",1988,"Retreat To Enen, Hello Goodboy, LunarLux, HumanitZ, March of Shrooms",,1
KiKi,"New York, USA",1982,homicide,Certainly individual mind physical use police new.,1
Adult Swim Games,"New York, USA",1980,"Super House of Dead Ninjas, Kingsway, Oblitus, Volgarr the Viking, Rick and Morty: Virtual Rick-ality",,1
QuickBobber,"New York, USA",1980,"In Shape 2, Hot Roads, Moto Roller, Rabbit Canyon, Go Rocket",,1
Meowtoy Games,Singapore,1991,能量冲击 Energy Shock,,1
Plug In Digital,Singapore,1980,"Highscore Hunter Hodgepodge, Magibot, Pongo, Boo! Greedy Kid, The Seven Chambers",,0
Gamesforgames,"Stockholm, Sweden",1981,"Storekeeper Revenge, Magic War, Zadel Princess, The Mythical City, Adventures of a snowboarder",,1
Asymmetric,"Seattle, USA",2017,"Shadows Over Loathing, West of Loathing",,1
